Target Gene,Target Gene (Entrez Gene ID),mir_target
LAMB3,3914,1
DCX,1641,1
RELN,5649,1
MAP3K8,1326,1
JARID2,3720,1
BCL2L2,599,1
FOXO1,2308,1
RBMXL1,494115,1
CBX7,23492,1
RHOB,388,1
SET,6418,1
BTK,695,1
MAFB,9935,1
PKD2,5311,1
LRP1,4035,1
NR3C2,4306,1
CTNNB1,1499,1
PRAP1,118471,1
FOXP3,50943,1
FMOD,2331,1
TGFBR2,7048,1
RAN,5901,1
VDR,7421,1
GRB2,2885,1
RAB34,83871,1
CACNA1C,775,1
HCN2,610,1
APC,324,1
TGFBI,7045,1
PHB,5245,1
FOS,2353,1
LRRFIP1,9208,1
MARCKS,4082,1
RARG,5916,1
CDC34,997,1
SEC24D,9871,1
WNT1,7471,1
AXIN2,8313,1
YWHAQ,10971,1
WDFY1,57590,1
UNC93B1,81622,1
UHRF1,29128,1
TPM3,7170,1
TPM2,7169,1
TPM1,7168,1
THBS1,7057,1
SYNE1,23345,1
SSNA1,8636,1
SNX6,58533,1
SLC25A22,79751,1
SLC25A1,6576,1
SH3BGRL3,83442,1
SFXN1,94081,1
SEC23IP,11196,1
SAC3D1,29901,1
RFT1,91869,1
PWP1,11137,1
PTPRF,5792,1
HACD2,201562,1
HACD3,51495,1
PTMA,5757,1
PTBP2,58155,1
PTBP1,5725,1
PRSS21,10942,1
PPIB,5479,1
POLA2,23649,1
PICALM,8301,1
PDLIM7,9260,1
NRP1,8829,1
NOTCH2,4853,1
MTHFD2,10797,1
MRC2,9902,1
MOV10,4343,1
LRRC8A,56262,1
F2,2147,1
ITGB4,3691,1
IQGAP3,128239,0
GPD2,2820,1
GOLGA7,51125,1
GNPNAT1,64841,1
GAK,2580,1
EHMT2,10919,1
EHMT1,79813,1
EGFR,1956,1
DNAJB1,3337,1
CTSC,1075,1
CSRP1,1465,1
CPOX,1371,1
CORO1C,23603,1
COIL,8161,1
CDCP1,64866,1
CAND1,55832,1
BRI3BP,140707,1
BCKDHB,594,0
ATP6V0A1,535,1
ASH2L,9070,1
ARID2,196528,1
ARID1A,8289,1
AP3D1,8943,1
AP3B1,8546,1
ANXA2,302,1
ANPEP,290,1
ANP32B,10541,1
AGRN,375790,1
AGMAT,79814,1
ADPGK,83440,1
ABHD11,83451,1
ZNF622,90441,1
YIF1B,90522,1
VTI1B,10490,1
UTP15,84135,1
UBE4A,9354,1
UBE2V1,7335,1
UBE2S,27338,1
TXN2,25828,1
TOMM34,10953,1
TNFSF9,8744,1
TMEM43,79188,1
TMEM109,79073,1
SRPRB,58477,1
SRPRA,6734,1
SQSTM1,8878,1
SPTLC1,10558,1
SLC7A1,6541,1
SLC38A5,92745,1
SLC38A1,81539,1
SLC16A3,9123,1
SLC12A2,6558,1
SHOC2,8036,1
SERPINE2,5270,1
SEC24A,10802,1
RARS,5917,1
PURA,5813,1
PTGS2,5743,1
PSAT1,29968,1
PPP2R5C,5527,1
PPIF,10105,1
PISD,23761,1
PHLDB2,90102,1
PANX1,24145,1
PAFAH1B2,5049,1
NPR3,4883,1
NAPG,8774,1
MRPL20,55052,0
MLLT11,10962,1
MLLT1,4298,1
LYPLA2,11313,1
LUZP1,7798,1
LAMC1,3915,1
KPNA3,3839,1
KCNN4,3783,1
ITGA2,3673,1
IPO4,79711,1
IGF2R,3482,1
IFRD2,7866,1
IFRD1,3475,1
HMOX1,3162,1
HSPA1B,3304,1
LAMTOR5,10542,1
HARS2,23438,1
HARS,3035,1
GSTM4,2948,1
GPAM,57678,1
GNL3L,54552,1
GFPT1,2673,1
GFM1,85476,1
GALNT7,51809,1
FNDC3B,64778,1
FGF2,2247,1
EIF4E,1977,1
DNAJB4,11080,1
CHORDC1,26973,1
CDK5RAP1,51654,0
CACNA2D1,781,1
CA12,771,1
ATG9A,79065,1
SNX15,29907,0
ARL2,402,1
ARHGDIA,396,1
ADSS,159,1
ACP2,53,1
ABHD10,55347,1
ABCF2,10061,1
VAMP3,9341,1
UBE2J1,51465,1
TXNRD1,7296,1
TXNDC12,51060,1
TRIP13,9319,1
TRIM32,22954,1
TRAM1,23471,1
TNFRSF10A,8797,1
TBCA,6902,1
TACSTD2,4070,1
SYPL1,6856,1
SYNE2,23224,1
SNAP29,9342,1
SMAD1,4086,1
SLC30A1,7779,1
SH3BP4,23677,1
SDCBP,6386,1
SCAMP1,9522,1
RHEB,6009,1
RCOR1,23186,1
RCN2,5955,1
RAI14,26064,1
RAB6A,5870,1
RAB5C,5878,1
RAB27B,5874,1
RAB23,51715,1
PTPRJ,5795,1
PRKCI,5584,1
PRAF2,11230,1
PPP5C,5536,1
PPL,5493,1
POLE4,56655,1
POLE3,54107,1
PODXL,5420,1
PLXND1,23129,1
PKN2,5586,1
PHC2,1912,1
PDLIM5,10611,1
PDE3A,5139,1
NT5E,4907,1
NARS,4677,1
MYO1E,4643,1
MYO10,4651,1
MSI2,124540,1
MPZL1,9019,1
MOSPD2,158747,1
MARC1,64757,1
METTL7A,25840,1
LY6K,54742,1
LPL,4023,1
UFL1,23376,1
HSDL1,83693,1
HSD17B12,51144,1
GNA13,10672,1
FMNL2,114793,1
FADS1,3992,1
DSG2,1829,1
DPP7,29952,1
DNAJC19,131118,1
DHX40,79665,1
CYP51A1,1595,1
CUL4B,8450,1
CLDN1,9076,1
CHAF1A,10036,1
CEBPB,1051,1
CDK5RAP3,80279,1
BRPF3,27154,1
BET1,10282,1
ATP6V1C1,528,1
ATG3,64422,1
ARL5B,221079,1
ARL10,285598,1
ARFIP2,23647,1
ARFIP1,27236,1
ANKFY1,51479,1
AMIGO2,347902,1
VPS39,23339,1
UGT8,7368,1
TYMS,7298,1
TTC9C,283237,1
TRMT1,55621,1
TMEM2,23670,1
TAF9B,51616,1
SPRYD4,283377,1
SPCS3,60559,1
SNAP23,8773,1
SLC25A32,81034,1
SLC25A24,29957,1
SLC25A13,10165,1
SLC1A4,6509,1
SCYL1,57410,1
RPP38,10557,0
RHOG,391,1
RDH10,157506,1
RBM19,9904,1
PXDN,7837,1
PPP1R7,5510,1
POM121,9883,1
POLR2C,5432,1
POLD2,5425,1
PGRMC1,10857,1
NXN,64359,1
NEDD4,4734,1
MTRR,4552,1
MRPS33,51650,1
MRPS24,64951,1
MRM1,79922,1
MARS2,92935,1
IGF2BP1,10642,1
IFIT5,24138,1
GYS1,2997,1
GTPBP3,84705,1
GRPEL2,134266,1
ADGRG1,9289,1
GEMIN7,79760,0
FNDC3A,22862,1
FAM96A,84191,1
FAM105A,54491,1
FADS2,9415,1
DUSP23,54935,1
DUSP12,11266,1
DSP,1832,1
DOCK5,80005,1
DHX57,90957,1
CSNK1D,1453,1
COMMD9,29099,1
CHMP2A,27243,1
CDKAL1,54901,1
CDIPT,10423,1
CARHSP1,23589,1
CAPG,822,1
CALCOCO2,10241,1
ATP6V1F,9296,1
ATAD3B,83858,0
ANAPC1,64682,1
AKAP8,10270,1
AARSD1,80755,0
FGF20,26281,1
SLC16A1,6566,1
TTK,7272,1
USP1,7398,1
ADIPOR2,79602,1
C1QBP,708,1
DLL1,28514,1
VAMP2,6844,1
SLC7A6,9057,1
CYR61,3491,1
TUBA1A,7846,1
NOTCH1,4851,1
ZBTB10,65986,1
MYT1,4661,1
CXCL12,6387,1
KIT,3815,1
HIPK3,10114,1
MYLIP,29116,1
UTRN,7402,1
FSTL1,11167,1
CCNT2,905,1
TM6SF1,53346,1
MATR3,9782,1
LDOC1,23641,1
JADE1,79960,1
TMOD3,29766,1
STK3,6788,1
PKM,5315,1
RAVER2,55225,1
MAGT1,84061,1
SUCLG2,8801,1
SURF4,6836,1
ELOVL5,60481,1
RB1,5925,1
GPD1,2819,1
HAND2,9464,1
IGF1,3479,1
TMSB4X,7114,1
SH3PXD2B,285590,1
RPIA,22934,1
ACTG1,71,1
NF2,4771,1
NRAS,4893,1
PRPS1,5631,1
ZNF513,130557,1
SNX19,399979,1
BRCA2,675,1
BRCA1,672,1
TDG,6996,1
SPARC,6678,1
COL15A1,1306,1
COL4A1,1282,1
GAPDH,2597,1
NPTX1,4884,1
CSDC2,27254,1
PRDM1,639,1
SMAD6,4091,1
CAMTA1,23261,1
AGO3,192669,1
POLR3D,661,1
HOXB5,3215,1
HTR3E,285242,1
KCNJ2,3759,1
GJA1,2697,1
CASP9,842,1
MITF,4286,1
ADCY6,112,1
BMP7,655,1
AGTR1,185,1
DHFR,1719,1
HOXD10,3236,1
EFNA3,1944,1
TRIM71,131405,1
FOXA1,3169,1
NR1I2,8856,1
NFIB,4781,1
TGFB2,7042,1
SFPQ,6421,1
SERBP1,26135,1
DNAJB11,51726,1
TMED7,51014,1
PITX3,5309,1
SGPL1,8879,1
ANAPC16,119504,1
CEBPG,1054,1
BAK1,578,1
BCL7A,605,1
SP4,6671,1
SP3,6670,1
RP2,6102,1
SGK3,23678,1
SLC16A10,117247,1
APAF1,317,1
GLCCI1,113263,1
SOCS5,9655,1
SESN1,27244,1
BTG2,7832,1
FAM3C,10447,1
FAS,355,1
MERTK,10461,1
PTPRN2,5799,1
SOX4,6659,1
HTR1B,3351,1
CFL2,1073,1
